"up.or.downregulated","subnetwork","GO.ID","Term","Annotated","Significant","Expected","classicFisher","sig_ids"
"upregulated","intensity.fluo","GO:1900057","positive regulation of leaf senescence",16,2,0.1,0.00459,"AT3G19290;AT3G29035"
"upregulated","intensity.fluo","GO:0007154","cell communication",1552,19,9.92,0.0047,"AT1G21250;AT1G54160;AT1G67030;AT2G46790;AT3G11670;AT3G19100;AT3G19290;AT3G52430;AT4G13820;AT4G17880;AT4G30960;AT4G32160;AT4G40010;AT5G01820;AT5G10930;AT5G16530;AT5G26751;AT5G46490;AT5G61850"
"upregulated","intensity.fluo","GO:0033993","response to lipid",891,13,5.7,0.00472,"AT1G54160;AT1G67030;AT3G11670;AT3G15510;AT3G19100;AT3G19290;AT3G52430;AT4G13510;AT4G32940;AT5G01820;AT5G50720;AT5G58787;AT5G61850"
"upregulated","intensity.fluo","GO:0042742","defense response to bacterium",410,8,2.62,0.00493,"AT1G20160;AT1G77920;AT3G45860;AT3G52430;AT4G02420;AT4G23130;AT4G23310;AT5G61420"
"upregulated","intensity.fluo","GO:0016310","phosphorylation",1119,15,7.15,0.00534,"AT1G21250;AT1G34420;AT3G19100;AT3G45860;AT4G02420;AT4G23130;AT4G23310;AT4G30960;AT4G40010;AT5G01820;AT5G02290;AT5G10930;AT5G26751;AT5G59670;AT5G63710"
"upregulated","intensity.fluo","GO:0098771","inorganic ion homeostasis",179,5,1.14,0.00592,"AT1G47330;AT2G29120;AT2G33770;AT3G53720;AT3G56240"
"upregulated","intensity.fluo","GO:0009740","gibberellic acid mediated signaling path...",58,3,0.37,0.0061,"AT1G67030;AT3G19100;AT5G61850"
"upregulated","intensity.fluo","GO:0042538","hyperosmotic salinity response",58,3,0.37,0.0061,"AT4G30960;AT5G26751;AT5G50720"
"upregulated","intensity.fluo","GO:0014070","response to organic cyclic compound",338,7,2.16,0.00613,"AT1G21250;AT1G22500;AT3G45860;AT3G52430;AT4G17880;AT4G23130;AT4G32940"
"upregulated","intensity.fluo","GO:0009605","response to external stimulus",1248,16,7.98,0.00615,"AT1G20160;AT1G21250;AT1G77920;AT2G46440;AT3G45860;AT3G52430;AT4G02420;AT4G19840;AT4G23130;AT4G23310;AT4G37980;AT5G12170;AT5G14940;AT5G22290;AT5G43560;AT5G61420"
"upregulated","intensity.fluo","GO:0044550","secondary metabolite biosynthetic proces...",114,4,0.73,0.0062,"AT3G11670;AT3G52430;AT4G37970;AT4G37980"
"upregulated","intensity.fluo","GO:0006468","protein phosphorylation",1031,14,6.59,0.00633,"AT1G21250;AT1G34420;AT3G19100;AT3G45860;AT4G02420;AT4G23130;AT4G23310;AT4G30960;AT4G40010;AT5G01820;AT5G02290;AT5G10930;AT5G26751;AT5G63710"
"upregulated","intensity.fluo","GO:0010476","gibberellin mediated signaling pathway",59,3,0.38,0.0064,"AT1G67030;AT3G19100;AT5G61850"
"upregulated","intensity.fluo","GO:0048878","chemical homeostasis",343,7,2.19,0.00662,"AT1G47330;AT1G68570;AT2G29120;AT2G33770;AT3G53720;AT3G56240;AT5G47560"
"upregulated","intensity.fluo","GO:0071396","cellular response to lipid",436,8,2.79,0.00705,"AT1G54160;AT1G67030;AT3G11670;AT3G19100;AT3G19290;AT3G52430;AT5G58787;AT5G61850"
"upregulated","intensity.fluo","GO:0071370","cellular response to gibberellin stimulu...",62,3,0.4,0.00734,"AT1G67030;AT3G19100;AT5G61850"
"upregulated","intensity.fluo","GO:0009808","lignin metabolic process",63,3,0.4,0.00767,"AT3G11670;AT4G37970;AT4G37980"
"upregulated","intensity.fluo","GO:0006787","porphyrin-containing compound catabolic ...",22,2,0.14,0.00862,"AT1G69720;AT3G19290"
"upregulated","intensity.fluo","GO:0033015","tetrapyrrole catabolic process",22,2,0.14,0.00862,"AT1G69720;AT3G19290"
"upregulated","intensity.fluo","GO:0006970","response to osmotic stress",547,9,3.5,0.00865,"AT3G01470;AT3G12360;AT3G19290;AT3G49580;AT4G30960;AT4G40010;AT5G01820;AT5G26751;AT5G50720"
"upregulated","intensity.fluo","GO:0006972","hyperosmotic response",70,3,0.45,0.01024,"AT4G30960;AT5G26751;AT5G50720"
"upregulated","intensity.fluo","GO:0055080","monoatomic cation homeostasis",210,5,1.34,0.01135,"AT1G47330;AT2G29120;AT3G53720;AT3G56240;AT5G47560"
"upregulated","intensity.fluo","GO:0009813","flavonoid biosynthetic process",74,3,0.47,0.01191,"AT4G17880;AT5G05270;AT5G42800"
"upregulated","intensity.fluo","GO:0055082","intracellular chemical homeostasis",216,5,1.38,0.0127,"AT1G47330;AT2G29120;AT3G53720;AT3G56240;AT5G47560"
"upregulated","intensity.fluo","GO:0012501","programmed cell death",141,4,0.9,0.01286,"AT3G45860;AT4G23130;AT4G37980;AT5G22290"
"upregulated","intensity.fluo","GO:0042592","homeostatic process",494,8,3.16,0.01423,"AT1G08570;AT1G47330;AT1G68570;AT2G29120;AT2G33770;AT3G53720;AT3G56240;AT5G47560"
"upregulated","intensity.fluo","GO:0050801","monoatomic ion homeostasis",224,5,1.43,0.01466,"AT1G47330;AT2G29120;AT3G53720;AT3G56240;AT5G47560"
"upregulated","intensity.fluo","GO:0006355","regulation of DNA-templated transcriptio...",1990,21,12.72,0.01521,"AT1G54160;AT1G67030;AT1G77920;AT2G41900;AT2G46790;AT2G47890;AT3G01470;AT3G04930;AT3G15510;AT3G19290;AT3G29035;AT3G47500;AT4G17880;AT4G38340;AT4G39100;AT5G06800;AT5G22290;AT5G60850;AT5G61420;AT5G61850;AT5G65320"
"upregulated","intensity.fluo","GO:2001141","regulation of RNA biosynthetic process",1993,21,12.74,0.01544,"AT1G54160;AT1G67030;AT1G77920;AT2G41900;AT2G46790;AT2G47890;AT3G01470;AT3G04930;AT3G15510;AT3G19290;AT3G29035;AT3G47500;AT4G17880;AT4G38340;AT4G39100;AT5G06800;AT5G22290;AT5G60850;AT5G61420;AT5G61850;AT5G65320"
"upregulated","intensity.fluo","GO:0009267","cellular response to starvation",149,4,0.95,0.01546,"AT1G71040;AT2G33770;AT3G49580;AT5G61420"
"upregulated","intensity.fluo","GO:0042762","regulation of sulfur metabolic process",30,2,0.19,0.0157,"AT3G52430;AT5G61420"
"upregulated","intensity.fluo","GO:1901701","cellular response to oxygen-containing c...",608,9,3.89,0.01633,"AT1G54160;AT1G67030;AT3G11670;AT3G19100;AT3G19290;AT3G52430;AT4G17880;AT5G58787;AT5G61850"
"upregulated","intensity.fluo","GO:0009718","anthocyanin-containing compound biosynth...",32,2,0.2,0.01775,"AT4G17880;AT5G42800"
"upregulated","intensity.fluo","GO:0036211","protein modification process",2285,23,14.61,0.01866,"AT1G01640;AT1G03010;AT1G21250;AT1G22500;AT1G34420;AT2G26350;AT2G33770;AT3G05200;AT3G19100;AT3G45860;AT3G61060;AT4G02420;AT4G11360;AT4G23130;AT4G23310;AT4G30960;AT4G40010;AT5G01820;AT5G02290;AT5G10930;AT5G26751;AT5G58787;AT5G63710"
"upregulated","intensity.fluo","GO:0008219","cell death",164,4,1.05,0.02119,"AT3G45860;AT4G23130;AT4G37980;AT5G22290"
"upregulated","intensity.fluo","GO:0009699","phenylpropanoid biosynthetic process",95,3,0.61,0.02309,"AT3G11670;AT4G37970;AT4G37980"
"upregulated","intensity.fluo","GO:0001763","morphogenesis of a branching structure",38,2,0.24,0.02454,"AT2G46640;AT4G13510"
"upregulated","intensity.fluo","GO:1900055","regulation of leaf senescence",38,2,0.24,0.02454,"AT3G19290;AT3G29035"
"upregulated","intensity.fluo","GO:0016567","protein ubiquitination",655,9,4.19,0.025,"AT1G01640;AT1G03010;AT1G22500;AT2G26350;AT2G33770;AT3G05200;AT3G61060;AT4G11360;AT5G58787"
"upregulated","intensity.fluo","GO:0009719","response to endogenous stimulus",1349,15,8.62,0.02575,"AT1G54160;AT1G67030;AT3G11670;AT3G15510;AT3G19100;AT3G19290;AT3G52430;AT3G61900;AT4G13510;AT4G32940;AT5G01820;AT5G16530;AT5G50720;AT5G58787;AT5G61850"
"upregulated","intensity.fluo","GO:0009725","response to hormone",1349,15,8.62,0.02575,"AT1G54160;AT1G67030;AT3G11670;AT3G15510;AT3G19100;AT3G19290;AT3G52430;AT3G61900;AT4G13510;AT4G32940;AT5G01820;AT5G16530;AT5G50720;AT5G58787;AT5G61850"
"upregulated","intensity.fluo","GO:0050794","regulation of cellular process",4394,38,28.09,0.02596,"AT1G21250;AT1G54160;AT1G67030;AT1G77920;AT2G22600;AT2G33770;AT2G41900;AT2G43800;AT2G46790;AT2G47890;AT3G01470;AT3G04930;AT3G11670;AT3G15510;AT3G19100;AT3G19290;AT3G29035;AT3G47500;AT3G52430;AT4G13820;AT4G17880;AT4G18120;AT4G30960;AT4G32160;AT4G38340;AT4G39100;AT4G40010;AT5G01820;AT5G06800;AT5G10930;AT5G16530;AT5G22290;AT5G26751;AT5G46490;AT5G60850;AT5G61420;AT5G61850;AT5G65320"
"upregulated","intensity.fluo","GO:0032870","cellular response to hormone stimulus",662,9,4.23,0.02653,"AT1G54160;AT1G67030;AT3G11670;AT3G19100;AT3G19290;AT3G52430;AT5G16530;AT5G58787;AT5G61850"
"upregulated","intensity.fluo","GO:0071495","cellular response to endogenous stimulus",662,9,4.23,0.02653,"AT1G54160;AT1G67030;AT3G11670;AT3G19100;AT3G19290;AT3G52430;AT5G16530;AT5G58787;AT5G61850"
"upregulated","intensity.fluo","GO:0006351","DNA-templated transcription",2118,21,13.54,0.02821,"AT1G54160;AT1G67030;AT1G77920;AT2G41900;AT2G46790;AT2G47890;AT3G01470;AT3G04930;AT3G15510;AT3G19290;AT3G29035;AT3G47500;AT4G17880;AT4G38340;AT4G39100;AT5G06800;AT5G22290;AT5G60850;AT5G61420;AT5G61850;AT5G65320"
"upregulated","intensity.fluo","GO:0051258","protein polymerization",41,2,0.26,0.02828,"AT2G43800;AT4G13510"
"upregulated","intensity.fluo","GO:1900424","regulation of defense response to bacter...",41,2,0.26,0.02828,"AT1G20160;AT3G52430"
"upregulated","intensity.fluo","GO:0015711","organic anion transport",103,3,0.66,0.02844,"AT2G39890;AT5G12170;AT5G47560"
"upregulated","intensity.fluo","GO:0019725","cellular homeostasis",362,6,2.31,0.02905,"AT1G08570;AT1G47330;AT2G29120;AT3G53720;AT3G56240;AT5G47560"
"upregulated","intensity.fluo","GO:0042594","response to starvation",184,4,1.18,0.03061,"AT1G71040;AT2G33770;AT3G49580;AT5G61420"
"upregulated","intensity.fluo","GO:0051252","regulation of RNA metabolic process",2137,21,13.66,0.03071,"AT1G54160;AT1G67030;AT1G77920;AT2G41900;AT2G46790;AT2G47890;AT3G01470;AT3G04930;AT3G15510;AT3G19290;AT3G29035;AT3G47500;AT4G17880;AT4G38340;AT4G39100;AT5G06800;AT5G22290;AT5G60850;AT5G61420;AT5G61850;AT5G65320"
"upregulated","intensity.fluo","GO:0032446","protein modification by small protein co...",687,9,4.39,0.03253,"AT1G01640;AT1G03010;AT1G22500;AT2G26350;AT2G33770;AT3G05200;AT3G61060;AT4G11360;AT5G58787"
"upregulated","intensity.fluo","GO:0009739","response to gibberellin",112,3,0.72,0.03518,"AT1G67030;AT3G19100;AT5G61850"
"upregulated","intensity.fluo","GO:0045087","innate immune response",195,4,1.25,0.0367,"AT4G37980;AT5G22290;AT5G43560;AT5G61420"
"upregulated","intensity.fluo","GO:0009414","response to water deprivation",385,6,2.46,0.0375,"AT1G54160;AT3G19290;AT4G30960;AT5G01820;AT5G50720;AT5G58787"
"upregulated","intensity.fluo","GO:0048366","leaf development",386,6,2.47,0.0379,"AT1G64360;AT3G01470;AT3G19290;AT3G29035;AT3G52430;AT4G32940"
"upregulated","intensity.fluo","GO:0009753","response to jasmonic acid",199,4,1.27,0.03907,"AT3G11670;AT3G15510;AT3G52430;AT4G32940"
"upregulated","intensity.fluo","GO:0042743","hydrogen peroxide metabolic process",49,2,0.31,0.03924,"AT3G27820;AT3G52430"
"upregulated","intensity.fluo","GO:0009755","hormone-mediated signaling pathway",601,8,3.84,0.03943,"AT1G54160;AT1G67030;AT3G11670;AT3G19100;AT3G19290;AT3G52430;AT5G16530;AT5G61850"
"upregulated","intensity.fluo","GO:0009415","response to water",394,6,2.52,0.0412,"AT1G54160;AT3G19290;AT4G30960;AT5G01820;AT5G50720;AT5G58787"
"upregulated","intensity.fluo","GO:0070542","response to fatty acid",203,4,1.3,0.04153,"AT3G11670;AT3G15510;AT3G52430;AT4G32940"
"upregulated","intensity.fluo","GO:0009628","response to abiotic stimulus",2214,21,14.15,0.04259,"AT1G22500;AT1G54160;AT2G29120;AT2G46790;AT3G01470;AT3G11670;AT3G12360;AT3G19290;AT3G49580;AT3G52430;AT4G13510;AT4G30960;AT4G38580;AT4G39100;AT4G40010;AT5G01820;AT5G05270;AT5G26751;AT5G48500;AT5G50720;AT5G58787"
"upregulated","intensity.fluo","GO:0009698","phenylpropanoid metabolic process",122,3,0.78,0.04355,"AT3G11670;AT4G37970;AT4G37980"
"upregulated","intensity.fluo","GO:0019219","regulation of nucleobase-containing comp...",2220,21,14.19,0.04364,"AT1G54160;AT1G67030;AT1G77920;AT2G41900;AT2G46790;AT2G47890;AT3G01470;AT3G04930;AT3G15510;AT3G19290;AT3G29035;AT3G47500;AT4G17880;AT4G38340;AT4G39100;AT5G06800;AT5G22290;AT5G60850;AT5G61420;AT5G61850;AT5G65320"
"upregulated","intensity.fluo","GO:0006955","immune response",211,4,1.35,0.04671,"AT4G37980;AT5G22290;AT5G43560;AT5G61420"
"upregulated","intensity.fluo","GO:0001101","response to acid chemical",408,6,2.61,0.0474,"AT1G54160;AT3G19290;AT4G30960;AT5G01820;AT5G50720;AT5G58787"
"upregulated","intensity.fluo","GO:0016485","protein processing",55,2,0.35,0.04834,"AT1G62710;AT4G32940"
"upregulated","intensity.fluo","GO:0048584","positive regulation of response to stimu...",214,4,1.37,0.04874,"AT3G19100;AT3G52430;AT5G26751;AT5G58787"
"upregulated","intensity.fluo","GO:0080167","response to karrikin",128,3,0.82,0.04901,"AT4G13510;AT5G05270;AT5G48500"
"upregulated","intensity.fluo","GO:0002376","immune system process",215,4,1.37,0.04942,"AT4G37980;AT5G22290;AT5G43560;AT5G61420"
"upregulated","intensity.fluo","GO:0071215","cellular response to abscisic acid stimu...",215,4,1.37,0.04942,"AT1G54160;AT1G67030;AT3G19290;AT5G58787"
"upregulated","intensity.fluo","GO:0097306","cellular response to alcohol",215,4,1.37,0.04942,"AT1G54160;AT1G67030;AT3G19290;AT5G58787"
"upregulated","intensity.fluo","GO:0140546","defense response to symbiont",311,5,1.99,0.04972,"AT3G52430;AT4G37980;AT5G22290;AT5G43560;AT5G61420"
"upregulated","intensity.nir","GO:0009809","lignin biosynthetic process",50,2,0.02,0.00023,"AT5G03260;AT5G60020"
"upregulated","intensity.nir","GO:0009808","lignin metabolic process",63,2,0.03,0.00037,"AT5G03260;AT5G60020"
"upregulated","intensity.nir","GO:0006826","iron ion transport",71,2,0.03,0.00047,"AT5G03260;AT5G60020"
"upregulated","intensity.nir","GO:0009699","phenylpropanoid biosynthetic process",95,2,0.04,0.00084,"AT5G03260;AT5G60020"
"upregulated","intensity.nir","GO:0044550","secondary metabolite biosynthetic proces...",114,2,0.05,0.00121,"AT5G03260;AT5G60020"
"upregulated","intensity.nir","GO:0009698","phenylpropanoid metabolic process",122,2,0.06,0.00138,"AT5G03260;AT5G60020"
"upregulated","intensity.nir","GO:0000041","transition metal ion transport",125,2,0.06,0.00145,"AT5G03260;AT5G60020"
"upregulated","intensity.nir","GO:0009753","response to jasmonic acid",199,2,0.09,0.00362,"AT3G15510;AT3G16770"
"upregulated","intensity.nir","GO:0070542","response to fatty acid",203,2,0.09,0.00377,"AT3G15510;AT3G16770"
"upregulated","intensity.nir","GO:0019748","secondary metabolic process",233,2,0.11,0.00493,"AT5G03260;AT5G60020"
"upregulated","intensity.nir","GO:0048317","seed morphogenesis",11,1,0.01,0.00509,"AT3G15510"
"upregulated","intensity.nir","GO:0080060","integument development",11,1,0.01,0.00509,"AT3G15510"
"upregulated","intensity.nir","GO:0045995","regulation of embryonic development",14,1,0.01,0.00647,"AT3G15510"
"upregulated","intensity.nir","GO:0030001","metal ion transport",301,2,0.14,0.0081,"AT5G03260;AT5G60020"
"upregulated","intensity.nir","GO:0009904","chloroplast accumulation movement",21,1,0.01,0.00969,"AT1G58070"
"upregulated","intensity.nir","GO:0009903","chloroplast avoidance movement",23,1,0.01,0.01061,"AT1G58070"
"upregulated","intensity.nir","GO:0098869","cellular oxidant detoxification",27,1,0.01,0.01244,"AT5G51890"
"upregulated","intensity.nir","GO:0009902","chloroplast relocation",28,1,0.01,0.0129,"AT1G58070"
"upregulated","intensity.nir","GO:0051667","establishment of plastid localization",28,1,0.01,0.0129,"AT1G58070"
"upregulated","intensity.nir","GO:0019750","chloroplast localization",29,1,0.01,0.01336,"AT1G58070"
"upregulated","intensity.nir","GO:0051644","plastid localization",29,1,0.01,0.01336,"AT1G58070"
"upregulated","intensity.nir","GO:0006812","monoatomic cation transport",391,2,0.18,0.01338,"AT5G03260;AT5G60020"
"upregulated","intensity.nir","GO:0006811","monoatomic ion transport",426,2,0.2,0.01574,"AT5G03260;AT5G60020"
"upregulated","intensity.nir","GO:1990748","cellular detoxification",39,1,0.02,0.01792,"AT5G51890"
"upregulated","intensity.nir","GO:0097237","cellular response to toxic substance",40,1,0.02,0.01838,"AT5G51890"
"upregulated","intensity.nir","GO:0010286","heat acclimation",52,1,0.02,0.02383,"AT3G16770"
"upregulated","intensity.nir","GO:0048481","plant ovule development",54,1,0.03,0.02474,"AT3G15510"
"upregulated","intensity.nir","GO:0035670","plant-type ovary development",56,1,0.03,0.02565,"AT3G15510"
"upregulated","intensity.nir","GO:0048440","carpel development",76,1,0.04,0.03466,"AT3G15510"
"upregulated","intensity.nir","GO:0009873","ethylene-activated signaling pathway",77,1,0.04,0.03511,"AT3G16770"
"upregulated","intensity.nir","GO:0071369","cellular response to ethylene stimulus",84,1,0.04,0.03825,"AT3G16770"
"upregulated","intensity.nir","GO:0048467","gynoecium development",88,1,0.04,0.04003,"AT3G15510"
"upregulated","intensity.nir","GO:0000160","phosphorelay signal transduction system",98,1,0.05,0.04449,"AT3G16770"
"upregulated","intensity.nir","GO:0051656","establishment of organelle localization",98,1,0.05,0.04449,"AT1G58070"
"upregulated","intensity.nir","GO:0098754","detoxification",100,1,0.05,0.04538,"AT5G51890"
"upregulated","intensity.nir","GO:0009735","response to cytokinin",105,1,0.05,0.0476,"AT3G16770"
"upregulated","intensity.vis","GO:0009267","cellular response to starvation",149,5,0.63,0.00042,"AT1G20630;AT2G26660;AT2G47880;AT3G05630;AT5G61420"
"upregulated","intensity.vis","GO:0006995","cellular response to nitrogen starvation",36,3,0.15,0.00047,"AT1G20630;AT2G47880;AT3G05630"
"upregulated","intensity.vis","GO:1990748","cellular detoxification",39,3,0.16,0.00059,"AT1G20630;AT1G64710;AT5G24655"
"upregulated","intensity.vis","GO:0097237","cellular response to toxic substance",40,3,0.17,0.00064,"AT1G20630;AT1G64710;AT5G24655"
"upregulated","intensity.vis","GO:0031669","cellular response to nutrient levels",164,5,0.69,0.00065,"AT1G20630;AT2G26660;AT2G47880;AT3G05630;AT5G61420"
"upregulated","intensity.vis","GO:0043562","cellular response to nitrogen levels",45,3,0.19,9e-04,"AT1G20630;AT2G47880;AT3G05630"
"upregulated","intensity.vis","GO:0042594","response to starvation",184,5,0.78,0.0011,"AT1G20630;AT2G26660;AT2G47880;AT3G05630;AT5G61420"
"upregulated","intensity.vis","GO:0005977","glycogen metabolic process",14,2,0.06,0.00155,"AT1G03310;AT2G21590"
"upregulated","intensity.vis","GO:0006112","energy reserve metabolic process",14,2,0.06,0.00155,"AT1G03310;AT2G21590"
"upregulated","intensity.vis","GO:0060627","regulation of vesicle-mediated transport",20,2,0.08,0.00318,"AT3G05630;AT5G58580"
"upregulated","intensity.vis","GO:0031667","response to nutrient levels",235,5,0.99,0.00319,"AT1G20630;AT2G26660;AT2G47880;AT3G05630;AT5G61420"
"upregulated","intensity.vis","GO:0051252","regulation of RNA metabolic process",2137,18,9.01,0.00322,"AT1G55310;AT1G74660;AT2G20570;AT2G28810;AT2G40670;AT3G02150;AT3G05690;AT3G09600;AT3G47600;AT3G58070;AT3G60400;AT4G00050;AT4G00870;AT5G46830;AT5G47370;AT5G50010;AT5G61420;AT5G65210"
"upregulated","intensity.vis","GO:0005982","starch metabolic process",71,3,0.3,0.00337,"AT1G03310;AT2G21590;AT5G26570"
"upregulated","intensity.vis","GO:0006355","regulation of DNA-templated transcriptio...",1990,17,8.39,0.00368,"AT1G74660;AT2G20570;AT2G28810;AT2G40670;AT3G02150;AT3G05690;AT3G09600;AT3G47600;AT3G58070;AT3G60400;AT4G00050;AT4G00870;AT5G46830;AT5G47370;AT5G50010;AT5G61420;AT5G65210"
"upregulated","intensity.vis","GO:2001141","regulation of RNA biosynthetic process",1993,17,8.4,0.00373,"AT1G74660;AT2G20570;AT2G28810;AT2G40670;AT3G02150;AT3G05690;AT3G09600;AT3G47600;AT3G58070;AT3G60400;AT4G00050;AT4G00870;AT5G46830;AT5G47370;AT5G50010;AT5G61420;AT5G65210"
"upregulated","intensity.vis","GO:0016036","cellular response to phosphate starvatio...",75,3,0.32,0.00393,"AT1G20630;AT2G26660;AT3G05630"
"upregulated","intensity.vis","GO:0010039","response to iron ion",23,2,0.1,0.0042,"AT4G24120;AT5G01600"
"upregulated","intensity.vis","GO:0019219","regulation of nucleobase-containing comp...",2220,18,9.36,0.00482,"AT1G55310;AT1G74660;AT2G20570;AT2G28810;AT2G40670;AT3G02150;AT3G05690;AT3G09600;AT3G47600;AT3G58070;AT3G60400;AT4G00050;AT4G00870;AT5G46830;AT5G47370;AT5G50010;AT5G61420;AT5G65210"
"upregulated","intensity.vis","GO:0098869","cellular oxidant detoxification",27,2,0.11,0.00576,"AT1G20630;AT5G24655"
"upregulated","intensity.vis","GO:0009566","fertilization",87,3,0.37,0.00595,"AT2G34380;AT3G05690;AT4G00050"
"upregulated","intensity.vis","GO:0009567","double fertilization forming a zygote an...",87,3,0.37,0.00595,"AT2G34380;AT3G05690;AT4G00050"
"upregulated","intensity.vis","GO:0008643","carbohydrate transport",90,3,0.38,0.00654,"AT4G35300;AT5G50800;AT5G62850"
"upregulated","intensity.vis","GO:0006351","DNA-templated transcription",2118,17,8.93,0.00686,"AT1G74660;AT2G20570;AT2G28810;AT2G40670;AT3G02150;AT3G05690;AT3G09600;AT3G47600;AT3G58070;AT3G60400;AT4G00050;AT4G00870;AT5G46830;AT5G47370;AT5G50010;AT5G61420;AT5G65210"
"upregulated","intensity.vis","GO:0098754","detoxification",100,3,0.42,0.00873,"AT1G20630;AT1G64710;AT5G24655"
"upregulated","intensity.vis","GO:0042221","response to chemical",2731,20,11.51,0.009,"AT1G12480;AT1G20630;AT1G23080;AT1G64710;AT1G74660;AT2G26660;AT2G40670;AT3G05630;AT3G47600;AT3G58070;AT4G23670;AT4G24120;AT4G36830;AT5G01600;AT5G24655;AT5G47370;AT5G54060;AT5G58580;AT5G65140;AT5G66400"
"upregulated","intensity.vis","GO:0009735","response to cytokinin",105,3,0.44,0.00997,"AT1G74660;AT2G40670;AT5G54060"
"upregulated","intensity.vis","GO:0051049","regulation of transport",105,3,0.44,0.00997,"AT3G05630;AT5G58580;AT5G64770"
"upregulated","intensity.vis","GO:0009733","response to auxin",314,5,1.32,0.01061,"AT1G23080;AT1G74660;AT3G05630;AT3G47600;AT5G47370"
"upregulated","intensity.vis","GO:0019252","starch biosynthetic process",37,2,0.16,0.01064,"AT1G03310;AT2G21590"
"upregulated","intensity.vis","GO:0009889","regulation of biosynthetic process",2594,19,10.94,0.01097,"AT1G55310;AT1G74660;AT2G20570;AT2G28810;AT2G40670;AT3G02150;AT3G05690;AT3G09600;AT3G47600;AT3G58070;AT3G60400;AT4G00050;AT4G00870;AT5G46830;AT5G47370;AT5G50010;AT5G58580;AT5G61420;AT5G65210"
"upregulated","intensity.vis","GO:0009719","response to endogenous stimulus",1349,12,5.69,0.01098,"AT1G12480;AT1G20630;AT1G23080;AT1G74660;AT2G40670;AT3G05630;AT3G47600;AT3G58070;AT4G36830;AT5G47370;AT5G54060;AT5G66400"
"upregulated","intensity.vis","GO:0009725","response to hormone",1349,12,5.69,0.01098,"AT1G12480;AT1G20630;AT1G23080;AT1G74660;AT2G40670;AT3G05630;AT3G47600;AT3G58070;AT4G36830;AT5G47370;AT5G54060;AT5G66400"
"upregulated","intensity.vis","GO:0010468","regulation of gene expression",2439,18,10.28,0.01242,"AT1G55310;AT1G74660;AT2G20570;AT2G28810;AT2G40670;AT3G02150;AT3G05690;AT3G09600;AT3G47600;AT3G58070;AT3G60400;AT4G00050;AT4G00870;AT5G46830;AT5G47370;AT5G50010;AT5G61420;AT5G65210"
"upregulated","intensity.vis","GO:0005975","carbohydrate metabolic process",899,9,3.79,0.01348,"AT1G03310;AT1G32860;AT2G21590;AT3G19620;AT4G21760;AT5G26570;AT5G43330;AT5G61420;AT5G65140"
"upregulated","intensity.vis","GO:0009636","response to toxic substance",118,3,0.5,0.01365,"AT1G20630;AT1G64710;AT5G24655"
"upregulated","intensity.vis","GO:0050896","response to stimulus",5696,34,24.01,0.01391,"AT1G12480;AT1G20630;AT1G23080;AT1G35310;AT1G63350;AT1G64710;AT1G74660;AT2G20570;AT2G26660;AT2G40670;AT2G47880;AT3G02150;AT3G05630;AT3G09600;AT3G47600;AT3G58070;AT4G00050;AT4G23670;AT4G24120;AT4G29050;AT4G36830;AT4G37980;AT5G01600;AT5G10600;AT5G24655;AT5G46830;AT5G47370;AT5G54060;AT5G58580;AT5G61420;AT5G64770;AT5G65140;AT5G65210;AT5G66400"
"upregulated","intensity.vis","GO:0010556","regulation of macromolecule biosynthetic...",2476,18,10.44,0.01435,"AT1G55310;AT1G74660;AT2G20570;AT2G28810;AT2G40670;AT3G02150;AT3G05690;AT3G09600;AT3G47600;AT3G58070;AT3G60400;AT4G00050;AT4G00870;AT5G46830;AT5G47370;AT5G50010;AT5G61420;AT5G65210"
"upregulated","intensity.vis","GO:0006810","transport",2152,16,9.07,0.01733,"AT1G09240;AT1G12480;AT1G23080;AT1G73700;AT2G03530;AT3G05630;AT3G54820;AT3G59140;AT4G24120;AT4G35300;AT4G40080;AT5G01600;AT5G50800;AT5G58580;AT5G62850;AT5G64770"
"upregulated","intensity.vis","GO:0032502","developmental process",3304,22,13.93,0.01756,"AT1G09240;AT1G23080;AT1G73600;AT1G74660;AT2G20570;AT2G34380;AT3G02150;AT3G05630;AT3G09600;AT3G10870;AT3G47600;AT3G58070;AT3G60400;AT4G00050;AT4G24120;AT4G39800;AT5G01600;AT5G24655;AT5G47370;AT5G50800;AT5G61420;AT5G64770"
"upregulated","intensity.vis","GO:0009617","response to bacterium",491,6,2.07,0.01765,"AT4G23670;AT4G29050;AT4G37980;AT5G01600;AT5G61420;AT5G65210"
"upregulated","intensity.vis","GO:0031326","regulation of cellular biosynthetic proc...",2546,18,10.73,0.01865,"AT1G55310;AT1G74660;AT2G20570;AT2G28810;AT2G40670;AT3G02150;AT3G05690;AT3G09600;AT3G47600;AT3G58070;AT3G60400;AT4G00050;AT4G00870;AT5G46830;AT5G47370;AT5G50010;AT5G61420;AT5G65210"
